timestamp,stroke_id,x,y,z
1772834599.6447966,1,53,9,-66
1772834599.6448178,1,53,14,-66
1772834599.6448326,1,53,14,-28
1772834599.6458957,1,61,14,-28
1772834599.6459103,1,61,22,-28
1772834599.6459262,1,61,22,-46
1772834599.6471202,1,56,22,-46
1772834599.647134,1,56,34,-46
1772834599.647148,1,56,34,-54
1772834599.6758986,1,49,34,-54
1772834599.6759138,1,49,35,-54
1772834599.6759276,1,49,35,-53
1772834599.6771398,1,68,35,-53
1772834599.6771543,1,68,56,-53
1772834599.6771681,1,68,56,-44
1772834599.7059143,1,133,56,-44
1772834599.7059295,1,133,118,-44
1772834599.7059455,1,133,118,-20
1772834599.7071407,1,134,118,-20
1772834599.7071557,1,134,140,-20
1772834599.707169,1,134,140,-14
1772834599.735885,1,87,140,-14
1772834599.7358994,1,87,154,-14
1772834599.7359128,1,87,154,-20
1772834599.7371304,1,53,154,-20
1772834599.7371478,1,53,158,-20
1772834599.7371614,1,53,158,-19
1772834599.738365,1,16,158,-19
1772834599.738379,1,16,157,-19
1772834599.7383924,1,16,157,-10
1772834599.7696044,1,-27,157,-10
1772834599.7696192,1,-27,140,-10
1772834599.7696328,1,-27,140,0
1772834599.7708783,1,-59,140,0
1772834599.7708917,1,-59,128,0
1772834599.7709055,1,-59,128,-1
1772834599.799611,1,-92,128,-1
1772834599.799625,1,-92,122,-1
1772834599.7996383,1,-92,122,-28
1772834599.8009105,1,-107,122,-28
1772834599.800924,1,-107,123,-28
1772834599.8009405,1,-107,123,-44
1772834599.8084497,1,-142,123,-44
1772834599.808464,1,-142,114,-44
1772834599.8084776,1,-142,114,-70
1772834599.8333821,1,-166,114,-70
1772834599.8333967,1,-166,98,-70
1772834599.83341,1,-166,98,-66
1772834599.8396096,1,-220,98,-66
1772834599.839624,1,-220,78,-66
1772834599.8396373,1,-220,78,-32
1772834599.868364,1,-236,78,-32
1772834599.868378,1,-236,68,-32
1772834599.8683934,1,-236,68,-8
1772834599.8696308,1,-237,68,-8
1772834599.8696454,1,-237,72,-8
1772834599.869659,1,-237,72,4
1772834599.8796878,1,-237,84,4
1772834599.8797028,1,-237,84,8
1772834599.9009001,1,-237,94,8
1772834599.9383998,1,-238,94,8
1772834599.938414,1,-238,104,8
1772834599.9384274,1,-238,104,18
1772834599.9396045,1,-246,104,18
1772834599.9396186,1,-246,98,18
1772834599.9396436,1,-246,98,34
1772834599.9671557,1,-232,98,34
1772834599.96717,1,-232,99,34
1772834599.9671836,1,-232,99,58
1772834599.9683552,1,-220,99,58
1772834599.9683697,1,-220,110,58
1772834599.9683828,1,-220,110,59
1772834599.969666,1,-216,110,59
1772834599.96968,1,-216,118,59
1772834599.9696937,1,-216,118,68
1772834599.9983664,1,-221,118,68
1772834599.9983807,1,-221,117,68
1772834599.998399,1,-221,117,80
1772834599.9996214,1,-229,117,80
1772834599.9996355,1,-229,106,80
1772834599.999649,1,-229,106,94
1772834600.028364,1,-222,106,94
1772834600.0283785,1,-222,100,94
1772834600.0283918,1,-222,100,142
1772834600.0296257,1,-206,100,142
1772834600.0296397,1,-206,108,142
1772834600.0296535,1,-206,108,166
1772834600.030854,1,-188,108,166
1772834600.030868,1,-188,114,166
1772834600.0308816,1,-188,114,190
1772834600.0633712,1,-166,114,190
1772834600.063385,1,-166,122,190
1772834600.0633984,1,-166,122,210
1772834600.0646448,1,-135,122,210
1772834600.0646594,1,-135,132,210
1772834600.0646732,1,-135,132,224
1772834600.0722113,1,-29,132,224
1772834600.0722258,1,-29,160,224
1772834600.0722394,1,-29,160,238
1772834600.0933871,1,30,160,238
1772834600.0934021,1,30,160,239
1772834600.1209168,1,116,160,239
1772834600.1209311,1,116,132,239
1772834600.1209445,1,116,132,237
1772834600.122117,1,154,132,237
1772834600.122132,1,154,118,237
1772834600.1221457,1,154,118,235
1772834600.15088,1,195,118,235
1772834600.1508956,1,195,100,235
1772834600.1509118,1,195,100,234
1772834600.1521473,1,188,100,234
1772834600.1521623,1,188,88,234
1772834600.1521761,1,188,88,220
