timestamp,stroke_id,x,y,z
1772834688.9256968,1,16,64,-182
1772834688.9257176,1,16,128,-182
1772834688.9257333,1,16,128,-188
1772834688.9593792,1,-31,128,-188
1772834688.9593954,1,-31,146,-188
1772834688.9594128,1,-31,146,-160
1772834688.9606366,1,-30,146,-160
1772834688.9606528,1,-30,164,-160
1772834688.960668,1,-30,164,-148
1772834688.965626,1,10,164,-148
1772834688.9656422,1,10,232,-148
1772834688.965657,1,10,232,-126
1772834689.001922,1,9,232,-126
1772834689.0019386,1,9,258,-126
1772834689.001954,1,9,258,-114
1772834689.0031524,1,-8,258,-114
1772834689.003168,1,-8,276,-114
1772834689.0031857,1,-8,276,-106
1772834689.0056279,1,-26,276,-106
1772834689.0056434,1,-26,318,-106
1772834689.0056586,1,-26,318,-78
1772834689.0356414,1,-27,318,-78
1772834689.0356572,1,-27,348,-78
1772834689.0356724,1,-27,348,-54
1772834689.0369353,1,-36,348,-54
1772834689.0369534,1,-36,368,-54
1772834689.036969,1,-36,368,-30
1772834689.0656183,1,-51,368,-30
1772834689.0656335,1,-51,408,-30
1772834689.0656486,1,-51,408,18
1772834689.066888,1,-57,408,18
1772834689.0669036,1,-57,428,18
1772834689.0669186,1,-57,428,44
1772834689.0956268,1,-75,428,44
1772834689.095642,1,-75,438,44
1772834689.0956576,1,-75,438,148
1772834689.0969172,1,-86,438,148
1772834689.096933,1,-86,422,148
1772834689.0969481,1,-86,422,208
1772834689.1281152,1,-94,422,208
1772834689.1281312,1,-94,364,208
1772834689.1281488,1,-94,364,254
1772834689.1294007,1,-72,364,254
1772834689.1294167,1,-72,354,254
1772834689.129432,1,-72,354,226
1772834689.1369762,1,-60,354,226
1772834689.1369913,1,-60,342,226
1772834689.1370063,1,-60,342,288
1772834689.1643975,1,-83,342,288
1772834689.164413,1,-83,312,288
1772834689.1644282,1,-83,312,370
1772834689.16688,1,-150,312,370
1772834689.1668954,1,-150,230,370
1772834689.1669126,1,-150,230,468
1772834689.1956134,1,-168,230,468
1772834689.1956296,1,-168,186,468
1772834689.1956453,1,-168,186,464
1772834689.1969373,1,-159,186,464
1772834689.196953,1,-159,156,464
1772834689.196968,1,-159,156,454
1772834689.5771637,2,-77,24,-96
1772834689.5771832,2,-77,18,-96
1772834689.5771987,2,-77,18,-52
1772834689.5845096,2,-108,18,-52
1772834689.5845263,2,-108,6,-52
1772834689.5845523,2,-108,6,-44
1772834689.6044147,2,-115,6,-44
1772834689.6044319,2,-115,6,-54
1772834689.6396449,2,-120,6,-54
1772834689.639664,2,-120,6,-62
1772834689.640662,2,-116,6,-62
1772834689.6406782,2,-116,7,-62
1772834689.6444123,2,-106,7,-62
1772834689.644428,2,-106,14,-62
1772834689.6444428,2,-106,14,-82
1772834689.6757028,2,-101,14,-82
1772834689.6757205,2,-101,14,-88
1772834689.676971,2,-95,14,-88
1772834689.676987,2,-95,15,-88
1772834689.677002,2,-95,15,-96
1772834689.6844695,2,-82,15,-96
1772834689.684486,2,-82,24,-96
1772834689.6845012,2,-82,24,-104
1772834689.7069187,2,-80,24,-104
1772834689.7069354,2,-80,25,-104
1772834689.7069504,2,-80,25,-103
1772834689.7419198,2,-57,25,-103
1772834689.7419362,2,-57,46,-103
1772834689.7419515,2,-57,46,-101
1772834689.74313,2,-46,46,-101
1772834689.7431455,2,-46,58,-101
1772834689.7431605,2,-46,58,-100
1772834689.745649,2,-25,58,-100
1772834689.7456725,2,-25,78,-100
1772834689.7456875,2,-25,78,-96
1772834689.7818956,2,-20,78,-96
1772834689.7819116,2,-20,86,-96
1772834689.7819266,2,-20,86,-92
1772834689.783149,2,-19,86,-92
1772834689.7831647,2,-19,94,-92
1772834689.7831795,2,-19,94,-86
1772834689.7856524,2,-13,94,-86
1772834689.7856686,2,-13,118,-86
1772834689.7856836,2,-13,118,-78
1772834689.8156548,2,-11,118,-78
1772834689.8156712,2,-11,134,-78
1772834689.8156865,2,-11,134,-74
1772834689.8169343,2,-4,134,-74
1772834689.8169508,2,-4,154,-74
1772834689.8169718,2,-4,154,-70
1772834689.846903,2,19,154,-70
1772834689.8469188,2,19,204,-70
1772834689.8469338,2,19,204,-56
1772834689.8481398,2,42,204,-56
1772834689.8481555,2,42,236,-56
1772834689.8481705,2,42,236,-40
1772834689.8818908,2,88,236,-40
1772834689.8819063,2,88,302,-40
1772834689.8819215,2,88,302,22
1772834689.8831532,2,110,302,22
1772834689.883169,2,110,338,22
1772834689.8831844,2,110,338,74
1772834689.88689,2,166,338,74
1772834689.8869057,2,166,378,74
1772834689.886921,2,166,378,196
1772834689.9169164,2,195,378,196
1772834689.9169326,2,195,384,196
1772834689.9169486,2,195,384,240
