timestamp,stroke_id,x,y,z
1772834757.1277232,1,-60,72,-206
1772834757.1277418,1,-60,122,-206
1772834757.1277559,1,-60,122,-186
1772834757.1639216,1,-73,122,-186
1772834757.1639361,1,-73,126,-186
1772834757.1639519,1,-73,126,-180
1772834757.1651533,1,-72,126,-180
1772834757.1651676,1,-72,140,-180
1772834757.1651804,1,-72,140,-168
1772834757.1676364,1,-22,140,-168
1772834757.1676505,1,-22,190,-168
1772834757.1676638,1,-22,190,-154
1772834757.1976664,1,-5,190,-154
1772834757.1976821,1,-5,212,-154
1772834757.1988797,1,1,212,-154
1772834757.1988952,1,1,232,-154
1772834757.1989086,1,1,232,-140
1772834757.2276359,1,10,232,-140
1772834757.2276518,1,10,274,-140
1772834757.2276654,1,10,274,-106
1772834757.22892,1,21,274,-106
1772834757.228934,1,21,294,-106
1772834757.2289474,1,21,294,-86
1772834757.2651377,1,25,294,-86
1772834757.2651522,1,25,336,-86
1772834757.265168,1,25,336,-46
1772834757.266379,1,19,336,-46
1772834757.2663932,1,19,348,-46
1772834757.2664068,1,19,348,-12
1772834757.2689,1,0,348,-12
1772834757.2689137,1,0,352,-12
1772834757.2689273,1,0,352,72
1772834757.2976313,1,-15,352,72
1772834757.2976482,1,-15,338,72
1772834757.2976618,1,-15,338,104
1772834757.2988703,1,-21,338,104
1772834757.2988853,1,-21,338,122
1772834757.3001106,1,-33,338,122
1772834757.3001244,1,-33,334,122
1772834757.3001375,1,-33,334,126
1772834757.328903,1,-43,334,126
1772834757.3289204,1,-43,334,127
1772834757.3301296,1,-47,334,127
1772834757.3301437,1,-47,328,127
1772834757.3301575,1,-47,328,160
1772834757.3626294,1,-66,328,160
1772834757.3626432,1,-66,282,160
1772834757.3626564,1,-66,282,270
1772834757.3638663,1,-83,282,270
1772834757.36388,1,-83,252,270
1772834757.363893,1,-83,252,342
1772834757.3714468,1,-104,252,342
1772834757.3714612,1,-104,188,342
1772834757.3714774,1,-104,188,432
1772834757.3926158,1,-104,164,432
1772834757.3926303,1,-104,164,456
1772834757.4226353,1,-79,164,456
1772834757.4226499,1,-79,138,456
1772834757.422663,1,-79,138,470
1772834757.4238603,1,-66,138,470
1772834757.4238744,1,-66,120,470
1772834757.423888,1,-66,120,484
1772834757.4526348,1,-33,120,484
1772834757.452649,1,-33,82,484
1772834757.4526625,1,-33,82,480
1772834757.7716277,2,-226,-64,-114
1772834757.7716444,2,-226,-44,-114
1772834757.7716577,2,-226,-44,-108
1772834757.7752862,2,-202,-44,-108
1772834757.7753017,2,-202,-20,-108
1772834757.775315,2,-202,-20,-54
1772834757.8026795,2,-212,-20,-54
1772834757.8026962,2,-212,-20,-28
1772834757.8040001,2,-218,-20,-28
1772834757.8040152,2,-218,-19,-28
1772834757.8040287,2,-218,-19,2
1772834757.8052688,2,-208,-19,2
1772834757.8052926,2,-208,-4,2
1772834757.8053064,2,-208,-4,28
1772834757.8390403,2,-194,-4,28
1772834757.839056,2,-194,6,28
1772834757.8390696,2,-194,6,40
1772834757.840264,2,-185,6,40
1772834757.840279,2,-185,14,40
1772834757.8463733,2,-159,14,40
1772834757.8463886,2,-159,34,40
1772834757.8464015,2,-159,34,36
1772834757.8752623,2,-138,34,36
1772834757.8752778,2,-138,46,36
1772834757.876515,2,-114,46,36
1772834757.87653,2,-114,56,36
1772834757.8765435,2,-114,56,40
1772834757.905252,2,-65,56,40
1772834757.9052727,2,-65,74,40
1772834757.905287,2,-65,74,62
1772834757.9065175,2,-36,74,62
1772834757.9065325,2,-36,86,62
1772834757.9065459,2,-36,86,78
1772834757.9413805,2,54,86,78
1772834757.9413958,2,54,118,78
1772834757.941409,2,54,118,106
1772834757.9427493,2,105,118,106
