timestamp,stroke_id,x,y,z
1772834847.203061,1,-20,18,-112
1772834847.203081,1,-20,34,-112
1772834847.2030947,1,-20,34,-136
1772834847.2353785,1,-29,34,-136
1772834847.2353947,1,-29,50,-136
1772834847.2354112,1,-29,50,-174
1772834847.2366035,1,-50,50,-174
1772834847.2366192,1,-50,62,-174
1772834847.2366328,1,-50,62,-204
1772834847.2426746,1,-45,62,-204
1772834847.2426903,1,-45,102,-204
1772834847.2427037,1,-45,102,-194
1772834847.271641,1,-25,102,-194
1772834847.2716577,1,-25,128,-194
1772834847.2716713,1,-25,128,-184
1772834847.272897,1,5,128,-184
1772834847.2729135,1,5,164,-184
1772834847.2729301,1,5,164,-180
1772834847.302712,1,62,164,-180
1772834847.3027275,1,62,264,-180
1772834847.3027408,1,62,264,-198
1772834847.3039207,1,49,264,-198
1772834847.3039355,1,49,288,-198
1772834847.3039486,1,49,288,-212
1772834847.3351793,1,30,288,-212
1772834847.335197,1,30,306,-212
1772834847.3352108,1,30,306,-208
1772834847.373945,1,-69,306,-208
1772834847.3739605,1,-69,348,-208
1772834847.3739738,1,-69,348,-40
1772834847.375193,1,-89,348,-40
1772834847.3752074,1,-89,366,-40
1772834847.3752203,1,-89,366,-12
1772834847.4051864,1,-120,366,-12
1772834847.4052005,1,-120,426,-12
1772834847.4052136,1,-120,426,32
1772834847.4064198,1,-141,426,32
1772834847.406434,1,-141,456,32
1772834847.4064474,1,-141,456,72
1772834847.437669,1,-140,456,72
1772834847.4376833,1,-140,492,72
1772834847.4376993,1,-140,492,268
1772834847.4389336,1,-112,492,268
1772834847.4389477,1,-112,474,268
1772834847.4389606,1,-112,474,396
1772834847.4451628,1,-45,474,396
1772834847.4451764,1,-45,408,396
1772834847.4451897,1,-45,408,492
1772834847.475195,1,-14,408,492
1772834847.4752092,1,-14,360,492
1772834847.4752223,1,-14,360,498
1772834847.4764004,1,26,360,498
1772834847.4764142,1,26,312,498
1772834847.5053117,1,48,312,498
1772834847.505329,1,48,228,498
1772834847.5064628,1,27,228,498
1772834847.5064778,1,27,178,498
1772834847.5403197,1,16,178,498
1772834847.5403364,1,16,114,498
1772834847.54035,1,16,114,497
1772834847.8490832,2,-209,-38,-54
1772834847.8491008,2,-209,-37,-54
1772834847.8514388,2,-182,-37,-54
1772834847.851453,2,-182,-26,-54
1772834847.8514664,2,-182,-26,30
1772834847.8827066,2,-161,-26,30
1772834847.882722,2,-161,-16,30
1772834847.8827353,2,-161,-16,52
1772834847.8839357,2,-151,-16,52
1772834847.8839498,2,-151,-4,52
1772834847.8839629,2,-151,-4,56
1772834847.9114456,2,-130,-4,56
1772834847.9114597,2,-130,14,56
1772834847.911473,2,-130,14,64
1772834847.9126704,2,-114,14,64
1772834847.9126842,2,-114,22,64
1772834847.9126976,2,-114,22,70
1772834847.9414563,2,-91,22,70
1772834847.941472,2,-91,30,70
1772834847.9414856,2,-91,30,66
1772834847.9426975,2,-82,30,66
1772834847.9427123,2,-82,31,66
1772834847.9439068,2,-65,31,66
1772834847.9439216,2,-65,32,66
1772834847.9439347,2,-65,32,65
1772834847.9739523,2,-46,32,65
1772834847.9739676,2,-46,36,65
1772834847.9739811,2,-46,36,60
1772834847.975185,2,-33,36,60
1772834848.003918,2,-6,36,60
1772834848.003932,2,-6,37,60
1772834848.0039456,2,-6,37,59
1772834848.00519,2,22,37,59
1772834848.0052116,2,22,44,59
1772834848.005225,2,22,44,54
1772834848.0339277,2,114,44,54
1772834848.033942,2,114,60,54
1772834848.0339553,2,114,60,38
1772834848.0351806,2,160,60,38
1772834848.0351949,2,160,70,38
1772834848.0352082,2,160,70,37
1772834848.0651956,2,205,70,37
1772834848.0652103,2,205,60,37
1772834848.065224,2,205,60,66
1772834848.3803005,3,-277,-84,180
1772834848.3803189,3,-277,-72,180
1772834848.3803327,3,-277,-72,202
1772834848.4077384,3,-310,-72,202
1772834848.4077544,3,-310,-68,202
1772834848.4077783,3,-310,-68,196
1772834848.4089816,3,-318,-68,196
1772834848.4089966,3,-318,-62,196
1772834848.4102051,3,-307,-62,196
1772834848.4102197,3,-307,-54,196
1772834848.4102333,3,-307,-54,200
1772834848.4389505,3,-291,-54,200
1772834848.4389656,3,-291,-46,200
1772834848.4389791,3,-291,-46,196
1772834848.4401999,3,-276,-46,196
1772834848.4402149,3,-276,-34,196
1772834848.4402277,3,-276,-34,180
1772834848.4689853,3,-224,-34,180
1772834848.4690018,3,-224,-4,180
1772834848.4690156,3,-224,-4,144
1772834848.4701958,3,-195,-4,144
1772834848.4702098,3,-195,14,144
1772834848.470223,3,-195,14,124
1772834848.4714386,3,-169,14,124
1772834848.4714532,3,-169,30,124
1772834848.471475,3,-169,30,110
1772834848.5076978,3,-148,30,110
1772834848.5077136,3,-148,44,110
1772834848.5077271,3,-148,44,102
1772834848.5089822,3,-123,44,102
1772834848.5089967,3,-123,64,102
1772834848.5090103,3,-123,64,98
1772834848.5126877,3,-74,64,98
1772834848.5127017,3,-74,94,98
1772834848.512715,3,-74,94,102
1772834848.5414479,3,-51,94,102
1772834848.541463,3,-51,102,102
1772834848.5426965,3,-28,102,102
1772834848.542711,3,-28,110,102
1772834848.5714207,3,5,110,102
1772834848.5714352,3,5,111,102
1772834848.5714483,3,5,111,108
1772834848.5726943,3,32,111,108
1772834848.5727086,3,32,120,108
1772834848.5739372,3,68,120,108
1772834848.573959,3,68,130,108
1772834848.5739727,3,68,130,109
1772834848.6026936,3,97,130,109
1772834848.6027079,3,97,131,109
1772834848.6027217,3,97,131,114
1772834848.6039333,3,114,131,114
1772834848.603948,3,114,130,114
1772834848.6039612,3,114,130,115
1772834848.632945,3,129,130,115
1772834848.6329644,3,129,124,115
1772834848.6329784,3,129,124,110
1772834848.6339924,3,142,124,110
1772834848.6340075,3,142,120,110
1772834848.6340213,3,142,120,109
