timestamp,stroke_id,x,y,z
1772835007.336144,1,4,146,-186
1772835007.3361623,1,4,156,-186
1772835007.3361766,1,4,156,-185
1772835007.3373115,1,-1,156,-185
1772835007.337326,1,-1,164,-185
1772835007.337342,1,-1,164,-184
1772835007.3660579,1,-15,164,-184
1772835007.3660724,1,-15,172,-184
1772835007.366086,1,-15,172,-174
1772835007.3673143,1,-20,172,-174
1772835007.3673291,1,-20,190,-174
1772835007.3673427,1,-20,190,-166
1772835007.3960447,1,7,190,-166
1772835007.396059,1,7,268,-166
1772835007.3960721,1,7,268,-136
1772835007.39731,1,17,268,-136
1772835007.397324,1,17,312,-136
1772835007.3973393,1,17,312,-106
1772835007.3985326,1,21,312,-106
1772835007.3985465,1,21,354,-106
1772835007.39856,1,21,354,-74
1772835007.4260917,1,17,354,-74
1772835007.4261062,1,17,392,-74
1772835007.426119,1,17,392,-44
1772835007.427302,1,2,392,-44
1772835007.427319,1,2,420,-44
1772835007.4273329,1,2,420,-2
1772835007.4285522,1,-27,420,-2
1772835007.4285662,1,-27,436,-2
1772835007.4285796,1,-27,436,56
1772835007.4573023,1,-57,436,56
1772835007.4573169,1,-57,430,56
1772835007.4573305,1,-57,430,124
1772835007.4585578,1,-84,430,124
1772835007.4585724,1,-84,416,124
1772835007.4585857,1,-84,416,208
1772835007.4922974,1,-120,416,208
1772835007.4923117,1,-120,328,208
1772835007.492325,1,-120,328,386
1772835007.4935613,1,-106,328,386
1772835007.4935746,1,-106,284,386
1772835007.4935908,1,-106,284,412
1772835007.4997988,1,-32,284,412
1772835007.4998136,1,-32,254,412
1772835007.499827,1,-32,254,386
1772835007.528541,1,-24,254,386
1772835007.5285556,1,-24,244,386
1772835007.5285685,1,-24,244,390
1772835007.5298073,1,-44,244,390
1772835007.5298212,1,-44,218,390
1772835007.5298347,1,-44,218,406
1772835007.5623114,1,-103,218,406
1772835007.5623252,1,-103,150,406
1772835007.5623417,1,-103,150,416
1772835007.56355,1,-103,134,416
1772835007.571114,1,-57,134,416
1772835007.5711284,1,-57,144,416
1772835007.5711417,1,-57,144,402
1772835007.5948157,1,-41,144,402
1772835007.59483,1,-41,148,402
1772835007.5948436,1,-41,148,390
1772835008.1762078,2,62,18,-156
1772835008.176225,2,62,32,-156
1772835008.1762385,2,62,32,-160
