timestamp,stroke_id,x,y,z
1772835166.7273905,1,-181,-28,-34
1772835166.7274086,1,-181,-50,-34
1772835166.727423,1,-181,-50,-54
1772835166.7285295,1,-202,-50,-54
1772835166.7285438,1,-202,-54,-54
1772835166.728559,1,-202,-54,-36
1772835166.7585514,1,-202,-48,-36
1772835166.7585669,1,-202,-48,-35
1772835166.75977,1,-194,-48,-35
1772835166.7597868,1,-194,-42,-35
1772835166.7598,1,-194,-42,-28
1772835166.7673528,1,-193,-42,-28
1772835166.7673671,1,-193,-38,-28
1772835166.767381,1,-193,-38,-2
1772835166.7872858,1,-203,-38,-2
1772835166.7872999,1,-203,-42,-2
1772835166.7873132,1,-203,-42,6
1772835166.7885053,1,-209,-42,6
1772835166.7885208,1,-209,-42,14
1772835166.818579,1,-213,-42,14
1772835166.8185956,1,-213,-42,28
1772835166.8197696,1,-212,-42,28
1772835166.8197837,1,-212,-36,28
1772835166.8197975,1,-212,-36,46
1772835166.8485286,1,-179,-36,46
1772835166.8485463,1,-179,-12,46
1772835166.8485599,1,-179,-12,84
1772835166.8497925,1,-158,-12,84
1772835166.8498065,1,-158,2,84
1772835166.8498201,1,-158,2,94
1772835166.8785248,1,-124,2,94
1772835166.8785396,1,-124,24,94
1772835166.878553,1,-124,24,86
1772835166.879783,1,-105,24,86
1772835166.8797975,1,-105,36,86
1772835166.8798108,1,-105,36,87
1772835166.9085271,1,-55,36,87
1772835166.9085414,1,-55,54,87
1772835166.908555,1,-55,54,114
1772835166.909789,1,-28,54,114
1772835166.9098039,1,-28,60,114
1772835166.9098198,1,-28,60,140
1772835166.9385233,1,35,60,140
1772835166.938538,1,35,54,140
1772835166.938552,1,35,54,200
1772835166.939789,1,67,54,200
1772835166.9398034,1,67,48,200
1772835166.939817,1,67,48,226
1772835166.9685428,1,141,48,226
1772835166.9685574,1,141,42,226
1772835166.968571,1,141,42,252
1772835166.9697924,1,167,42,252
1772835166.9698067,1,167,41,252
1772835166.969823,1,167,41,242
1772835166.9985104,1,194,41,242
1772835166.998525,1,194,16,242
1772835166.9985387,1,194,16,222
1772835166.9997897,1,193,16,222
1772835166.9998045,1,193,0,222
1772835166.999818,1,193,0,208
1772835167.0335474,1,182,0,208
1772835167.0335617,1,182,-22,208
1772835167.0335755,1,182,-22,162
1772835167.2736778,2,-95,-54,-106
1772835167.2736955,2,-95,-44,-106
1772835167.2737217,2,-95,-44,-107
1772835167.3010886,2,-94,-44,-107
1772835167.301103,2,-94,-43,-107
1772835167.3011165,2,-94,-43,-114
1772835167.3022773,2,-95,-43,-114
1772835167.3022914,2,-95,-41,-114
1772835167.3023047,2,-95,-41,-118
1772835167.303546,2,-95,-39,-118
1772835167.303561,2,-95,-39,-130
1772835167.3310518,2,-85,-39,-130
1772835167.331066,2,-85,-26,-130
1772835167.3310795,2,-85,-26,-140
1772835167.332284,2,-69,-26,-140
1772835167.3322985,2,-69,-6,-140
1772835167.3323116,2,-69,-6,-141
1772835167.333545,2,-54,-6,-141
1772835167.3335595,2,-54,14,-141
1772835167.3335729,2,-54,14,-140
1772835167.3610702,2,-44,14,-140
1772835167.3610861,2,-44,32,-140
1772835167.3611,2,-44,32,-132
1772835167.362289,2,-34,32,-132
1772835167.3623035,2,-34,52,-132
1772835167.3623166,2,-34,52,-116
1772835167.364814,2,-24,52,-116
1772835167.3648283,2,-24,74,-116
1772835167.3648415,2,-24,74,-104
1772835167.3923078,2,-14,74,-104
1772835167.3923292,2,-14,96,-104
1772835167.3923428,2,-14,96,-96
1772835167.3935382,2,-9,96,-96
1772835167.3935525,2,-9,116,-96
1772835167.393566,2,-9,116,-86
1772835167.3947918,2,-10,116,-86
1772835167.394806,2,-10,130,-86
1772835167.3948193,2,-10,130,-74
1772835167.42605,2,-19,130,-74
1772835167.4260652,2,-19,140,-74
1772835167.426079,2,-19,140,-56
1772835167.4272916,2,-24,140,-56
1772835167.4273062,2,-24,150,-56
1772835167.42732,2,-24,150,-36
1772835167.4348779,2,-24,180,-36
1772835167.4348936,2,-24,180,-4
1772835167.4560406,2,-25,180,-4
1772835167.456056,2,-25,190,-4
1772835167.45607,2,-25,190,24
1772835167.4848738,2,-49,190,24
1772835167.4848902,2,-49,200,24
1772835167.4849043,2,-49,200,92
1772835167.486057,2,-61,200,92
1772835167.4860713,2,-61,206,92
1772835167.486085,2,-61,206,124
1772835167.514797,2,-65,206,124
1772835167.5148118,2,-65,212,124
1772835167.514825,2,-65,212,188
1772835167.5160446,2,-66,212,188
1772835167.5160592,2,-66,213,188
1772835167.5160728,2,-66,213,222
1772835167.5460527,2,-90,213,222
1772835167.5460668,2,-90,182,222
1772835167.5460804,2,-90,182,276
1772835167.547283,2,-98,182,276
1772835167.547297,2,-98,190,276
1772835167.5473156,2,-98,190,284
1772835167.579804,2,-72,190,284
1772835167.579819,2,-72,210,284
1772835167.5798326,2,-72,210,298
1772835167.5810344,2,-52,210,298
