timestamp,stroke_id,x,y,z
1772835273.0856442,1,-26,18,-124
1772835273.0856645,1,-26,36,-124
1772835273.085679,1,-26,36,-142
1772835273.0867486,1,-15,36,-142
1772835273.0867636,1,-15,54,-142
1772835273.0867798,1,-15,54,-166
1772835273.0892396,1,-8,54,-166
1772835273.089255,1,-8,74,-166
1772835273.0892692,1,-8,74,-188
1772835273.121756,1,-4,74,-188
1772835273.121771,1,-4,88,-188
1772835273.1217854,1,-4,88,-204
1772835273.1229792,1,-5,88,-204
1772835273.1229947,1,-5,104,-204
1772835273.123009,1,-5,104,-205
1772835273.1292436,1,-6,104,-205
1772835273.1292584,1,-6,144,-205
1772835273.1292744,1,-6,144,-194
1772835273.160523,1,-1,144,-194
1772835273.1605399,1,-1,172,-194
1772835273.1605544,1,-1,172,-184
1772835273.161742,1,10,172,-184
1772835273.161757,1,10,200,-184
1772835273.161771,1,10,200,-172
1772835273.1693134,1,48,200,-172
1772835273.1693318,1,48,268,-172
1772835273.1693459,1,48,268,-130
1772835273.1904778,1,61,268,-130
1772835273.1904929,1,61,296,-130
1772835273.1905065,1,61,296,-100
1772835273.2230089,1,61,340,-100
1772835273.223025,1,61,340,-22
1772835273.2242172,1,60,340,-22
1772835273.2242346,1,60,358,-22
1772835273.2242484,1,60,358,16
1772835273.2304995,1,32,358,16
1772835273.2305145,1,32,378,16
1772835273.2305286,1,32,378,92
1772835273.273004,1,14,378,92
1772835273.2730188,1,14,379,92
1772835273.273033,1,14,379,130
1772835273.2742279,1,-6,379,130
1772835273.274243,1,-6,372,130
1772835273.274257,1,-6,372,190
1772835273.280489,1,-69,372,190
1772835273.2805042,1,-69,248,190
1772835273.2805183,1,-69,248,334
1772835273.3105056,1,-50,248,334
1772835273.3105206,1,-50,242,334
1772835273.3105345,1,-50,242,342
1772835273.3117185,1,-26,242,342
1772835273.3117337,1,-26,246,342
1772835273.3117473,1,-26,246,362
1772835273.341748,1,-21,246,362
1772835273.3417633,1,-21,220,362
1772835273.3417773,1,-21,220,472
1772835273.3429654,1,-59,220,472
1772835273.3429797,1,-59,172,472
1772835273.3429933,1,-59,172,494
1772835273.351817,1,-144,172,494
1772835273.3518322,1,-144,80,494
1772835273.3518462,1,-144,80,478
1772835273.3742495,1,-124,80,478
1772835273.3742645,1,-124,72,478
1772835273.3742783,1,-124,72,452
1772835274.0418248,2,106,-11,-12
1772835274.0418422,2,106,-16,-12
1772835274.041857,2,106,-16,22
1772835274.065474,2,102,-16,22
1772835274.0654883,2,102,-22,22
1772835274.0655024,2,102,-22,30
1772835274.0692148,2,207,-22,30
1772835274.0692296,2,207,42,30
1772835274.0692437,2,207,42,74
1772835274.0980263,2,220,42,74
1772835274.0980427,2,220,70,74
1772835274.0980573,2,220,70,64
1772835274.0992155,2,204,70,64
1772835274.0992305,2,204,82,64
1772835274.0992446,2,204,82,58
1772835274.1279745,2,154,82,58
1772835274.1279895,2,154,92,58
1772835274.1280036,2,154,92,72
1772835274.1292243,2,129,92,72
1772835274.1292388,2,129,96,72
1772835274.1292527,2,129,96,78
1772835274.1304433,2,114,96,78
1772835274.1304579,2,114,112,78
1772835274.1304715,2,114,112,79
1772835274.1591957,2,104,112,79
1772835274.1592104,2,104,128,79
1772835274.1592245,2,104,128,84
1772835274.1604464,2,72,128,84
1772835274.1604674,2,72,140,84
1772835274.1604812,2,72,140,85
1772835274.189196,2,-22,140,85
1772835274.189211,2,-22,132,85
1772835274.190451,2,-81,132,85
1772835274.1904655,2,-81,114,85
1772835274.1904795,2,-81,114,96
1772835274.191692,2,-135,114,96
1772835274.1917071,2,-135,92,96
1772835274.1917212,2,-135,92,116
1772835274.2204373,2,-182,92,116
1772835274.220452,2,-182,66,116
1772835274.2204661,2,-182,66,138
1772835274.221706,2,-220,66,138
1772835274.2217214,2,-220,46,138
1772835274.2217357,2,-220,46,150
1772835274.250436,2,-283,46,150
1772835274.2504506,2,-283,8,150
1772835274.250465,2,-283,8,128
1772835274.2517035,2,-313,8,128
1772835274.2517188,2,-313,-16,128
1772835274.2517326,2,-313,-16,112
1772835274.2804384,2,-348,-16,112
1772835274.2804532,2,-348,-50,112
1772835274.280467,2,-348,-50,76
1772835274.2816994,2,-348,-60,76
1772835274.282927,2,-335,-60,76
1772835274.2829413,2,-335,-59,76
1772835274.2829552,2,-335,-59,84
1772835274.3116875,2,-310,-59,84
1772835274.3117023,2,-310,-52,84
1772835274.3117163,2,-310,-52,85
1772835274.3129478,2,-288,-52,85
1772835274.312962,2,-288,-44,85
1772835274.3129764,2,-288,-44,78
1772835274.350462,2,-230,-44,78
1772835274.350481,2,-230,-32,78
1772835274.3504953,2,-230,-32,56
