timestamp,stroke_id,x,y,z
1772835331.4250274,1,53,-4,-18
1772835331.425048,1,53,-4,-22
1772835331.4524117,1,62,-4,-22
1772835331.4524262,1,62,8,-22
1772835331.4524398,1,62,8,-21
1772835331.4536247,1,78,8,-21
1772835331.4536395,1,78,18,-21
1772835331.4536526,1,78,18,-12
1772835331.454878,1,83,18,-12
1772835331.4548943,1,83,19,-12
1772835331.4549074,1,83,19,-11
1772835331.4911256,1,70,19,-11
1772835331.4911394,1,70,18,-11
1772835331.4911525,1,70,18,-16
1772835331.492367,1,65,18,-16
1772835331.492381,1,65,22,-16
1772835331.4923942,1,65,22,-17
1772835331.4961085,1,128,22,-17
1772835331.496123,1,128,76,-17
1772835331.4961371,1,128,76,26
1772835331.524937,1,186,76,26
1772835331.5249522,1,186,120,26
1772835331.5249655,1,186,120,62
1772835331.5261297,1,231,120,62
1772835331.526144,1,231,170,62
1772835331.5261605,1,231,170,102
1772835331.5548713,1,223,170,102
1772835331.5548851,1,223,234,102
1772835331.5548987,1,223,234,182
1772835331.556126,1,176,234,182
1772835331.5561402,1,176,254,182
1772835331.5561538,1,176,254,224
1772835331.5573587,1,103,254,224
1772835331.557376,1,103,250,224
1772835331.557389,1,103,250,262
1772835331.5936193,1,15,250,262
1772835331.593634,1,15,232,262
1772835331.593647,1,15,232,268
1772835331.5948696,1,-55,232,268
1772835331.5948842,1,-55,232,242
1772835331.5973754,1,-124,232,242
1772835331.5973926,1,-124,288,242
1772835331.5974064,1,-124,288,144
1772835331.6275585,1,-151,288,144
1772835331.6275756,1,-151,312,144
1772835331.6275892,1,-151,312,96
1772835331.6286378,1,-205,312,96
1772835331.6286519,1,-205,308,96
1772835331.6286654,1,-205,308,52
1772835331.6586576,1,-361,308,52
1772835331.6586714,1,-361,228,52
1772835331.658685,1,-361,228,6
1772835331.6598713,1,-424,228,6
1772835331.65989,1,-424,184,6
1772835331.6599035,1,-424,184,10
1772835331.6674554,1,-497,184,10
1772835331.6674705,1,-497,124,10
1772835331.6674836,1,-497,124,-16
1772835331.6961339,1,-508,124,-16
1772835331.6961484,1,-508,98,-16
1772835331.696162,1,-508,98,-26
1772835331.6973898,1,-500,98,-26
1772835331.697404,1,-500,62,-26
1772835331.6974173,1,-500,62,-38
1772835331.7261195,1,-477,62,-38
1772835331.7261455,1,-477,58,-38
1772835331.726159,1,-477,58,-52
1772835331.727376,1,-453,58,-52
1772835331.72739,1,-453,54,-52
1772835331.7274032,1,-453,54,-62
1772835331.7561285,1,-416,54,-62
1772835331.7561424,1,-416,32,-62
1772835331.7573566,1,-388,32,-62
1772835331.7573698,1,-388,26,-62
1772835331.758612,1,-354,26,-62
1772835331.7586257,1,-354,32,-62
1772835331.7586393,1,-354,32,-70
1772835331.7873797,1,-322,32,-70
1772835331.7873938,1,-322,38,-70
1772835331.7874076,1,-322,38,-88
1772835331.788624,1,-290,38,-88
1772835331.788639,1,-290,38,-98
1772835331.8173795,1,-252,38,-98
1772835331.817394,1,-252,34,-98
1772835331.8174071,1,-252,34,-108
1772835331.8186293,1,-228,34,-108
1772835331.8186429,1,-228,35,-108
1772835331.818656,1,-228,35,-122
1772835331.84863,1,-182,35,-122
1772835331.8486443,1,-182,42,-122
1772835331.8486576,1,-182,42,-138
1772835331.8498664,1,-162,42,-138
1772835331.849881,1,-162,46,-138
1772835331.8786206,1,-142,46,-138
1772835331.8786352,1,-142,50,-138
1772835331.8786485,1,-142,50,-124
1772835331.8798804,1,-140,50,-124
1772835331.879894,1,-140,51,-124
1772835331.8799074,1,-140,51,-110
1772835331.9098897,1,-117,51,-110
1772835331.9099045,1,-117,62,-110
1772835331.9099183,1,-117,62,-88
1772835331.9111245,1,-103,62,-88
1772835331.9111388,1,-103,74,-88
1772835331.9111521,1,-103,74,-87
1772835331.9398732,1,-80,74,-87
1772835331.9398873,1,-80,82,-87
1772835331.9399006,1,-80,82,-72
1772835331.9411368,1,-69,82,-72
1772835331.9411564,1,-69,78,-72
1772835331.94117,1,-69,78,-64
1772835331.969871,1,-46,78,-64
1772835331.969885,1,-46,74,-64
1772835331.9698985,1,-46,74,-54
1772835331.9711378,1,-34,74,-54
1772835331.9711518,1,-34,78,-54
1772835331.9711652,1,-34,78,-50
1772835332.0023773,1,-2,78,-50
1772835332.0023916,1,-2,92,-50
1772835332.0024052,1,-2,92,-32
1772835332.0036392,1,9,92,-32
1772835332.003654,1,9,98,-32
1772835332.0036674,1,9,98,-46
1772835332.0112,1,16,98,-46
1772835332.0112143,1,16,114,-46
1772835332.0112278,1,16,114,-152
1772835332.0348768,1,21,114,-152
1772835332.0348916,1,21,132,-152
1772835332.0349052,1,21,132,-170
1772835332.041143,1,20,132,-170
1772835332.0411577,1,20,208,-170
1772835332.0411716,1,20,208,-92
1772835332.0698812,1,-9,208,-92
1772835332.069896,1,-9,232,-92
1772835332.0699098,1,-9,232,-36
1772835332.071128,1,-80,232,-36
1772835332.071142,1,-80,252,-36
1772835332.0711555,1,-80,252,46
