timestamp,stroke_id,x,y,z
1772835390.8114789,1,-67,-4,92
1772835390.8114984,1,-67,-4,132
1772835390.812678,1,-54,-4,132
1772835390.8126929,1,-54,20,132
1772835390.8127074,1,-54,20,152
1772835390.8426807,1,-14,20,152
1772835390.8426964,1,-14,56,152
1772835390.8427103,1,-14,56,172
1772835390.8439133,1,31,56,172
1772835390.84393,1,31,82,172
1772835390.8439438,1,31,82,226
1772835390.871419,1,43,82,226
1772835390.8714345,1,43,74,226
1772835390.871448,1,43,74,418
1772835390.87265,1,11,74,418
1772835390.8726642,1,11,48,418
1772835390.872678,1,11,48,478
1772835390.8739138,1,-25,48,478
1772835390.873929,1,-25,26,478
1772835390.8739429,1,-25,26,494
1772835390.9014452,1,-44,26,494
1772835390.9014614,1,-44,26,486
1772835390.9026473,1,-36,26,486
1772835390.902661,1,-36,44,486
1772835390.9026752,1,-36,44,476
1772835390.9039109,1,-20,44,476
1772835390.9039252,1,-20,70,476
1772835390.9039385,1,-20,70,470
1772835390.9314141,1,-11,70,470
1772835390.9314287,1,-11,98,470
1772835390.9314425,1,-11,98,454
1772835390.9326425,1,-9,98,454
1772835390.9326575,1,-9,126,454
1772835390.9326735,1,-9,126,432
1772835390.9339063,1,-4,126,432
1772835390.9339201,1,-4,154,432
1772835390.9339337,1,-4,154,408
1772835390.965154,1,2,154,408
1772835390.9651697,1,2,186,408
1772835390.9651837,1,2,186,384
1772835390.9664054,1,9,186,384
1772835390.9664223,1,9,216,384
1772835390.9664361,1,9,216,352
1772835390.9964066,1,16,216,352
1772835390.9964213,1,16,260,352
1772835390.9964347,1,16,260,264
1772835390.9976456,1,15,260,264
1772835390.9976597,1,15,266,264
1772835390.9976735,1,15,266,210
1772835391.0052392,1,21,266,210
1772835391.0052536,1,21,262,210
1772835391.0052674,1,21,262,108
1772835391.026387,1,27,262,108
1772835391.0264044,1,27,248,108
1772835391.026418,1,27,248,60
1772835391.0551405,1,27,206,60
1772835391.0551562,1,27,206,-12
1772835391.056389,1,26,206,-12
1772835391.0564034,1,26,178,-12
1772835391.056417,1,26,178,-42
1772835391.0851424,1,27,178,-42
1772835391.0851564,1,27,132,-42
1772835391.0851703,1,27,132,-100
1772835391.086395,1,26,132,-100
1772835391.0864096,1,26,110,-100
1772835391.0864346,1,26,110,-120
1772835391.1188982,1,11,110,-120
1772835391.1189127,1,11,76,-120
1772835391.1189265,1,11,76,-136
1772835391.1201284,1,4,76,-136
1772835391.1201427,1,4,66,-136
1772835391.120156,1,4,66,-140
1772835391.125051,1,-11,66,-140
1772835391.1250656,1,-11,56,-140
1772835391.1363943,1,-11,55,-140
1772835391.1364093,1,-11,55,-134
1772835391.1464574,1,-4,55,-134
1772835391.1464791,1,-4,54,-134
1772835391.146493,1,-4,54,-130
1772835391.1701329,1,1,54,-130
1772835391.1701481,1,1,54,-131
1772835391.1763937,1,0,54,-131
1772835391.176408,1,0,48,-131
1772835391.1764219,1,0,48,-140
1772835391.2039137,1,-1,48,-140
1772835391.2039285,1,-1,42,-140
1772835391.203942,1,-1,42,-141
1772835391.2051313,1,-2,42,-141
1772835391.2051456,1,-2,38,-141
1772835391.2051594,1,-2,38,-140
1772835391.2338874,1,-3,38,-140
1772835391.2339017,1,-3,34,-140
1772835391.2339153,1,-3,34,-136
1772835391.2401357,1,-8,34,-136
1772835391.2401505,1,-8,33,-136
1772835391.2401643,1,-8,33,-130
1772835391.2477057,1,-12,33,-130
1772835391.24772,1,-12,32,-130
1772835391.2477338,1,-12,32,-116
1772835391.2690217,1,-17,32,-116
1772835391.269038,1,-17,36,-116
1772835391.2690527,1,-17,36,-112
1772835391.29765,1,-21,36,-112
1772835391.2976656,1,-21,44,-112
1772835391.2976797,1,-21,44,-104
1772835391.2988951,1,-22,44,-104
1772835391.2989097,1,-22,52,-104
1772835391.2989235,1,-22,52,-98
1772835391.327639,1,-26,52,-98
1772835391.3276675,1,-26,70,-98
1772835391.3276818,1,-26,70,-86
1772835391.3289149,1,-22,70,-86
1772835391.3289294,1,-22,84,-86
1772835391.3289433,1,-22,84,-82
1772835391.3576376,1,-11,84,-82
1772835391.3576524,1,-11,120,-82
1772835391.357666,1,-11,120,-64
1772835391.358888,1,-4,120,-64
1772835391.3589025,1,-4,142,-64
1772835391.3589158,1,-4,142,-52
1772835391.3926265,1,2,142,-52
1772835391.3926413,1,2,192,-52
1772835391.3926551,1,2,192,-14
1772835391.393892,1,7,192,-14
1772835391.3939068,1,7,216,-14
1772835391.3939207,1,7,216,12
1772835391.40013,1,5,216,12
1772835391.4001443,1,5,270,12
1772835391.4001584,1,5,270,90
1772835391.4289198,1,-11,270,90
1772835391.4289343,1,-11,280,90
1772835391.4289482,1,-11,280,140
1772835391.4301343,1,-31,280,140
1772835391.4301486,1,-31,286,140
1772835391.4301627,1,-31,286,176
1772835391.4588842,1,-91,286,176
1772835391.4588993,1,-91,268,176
1772835391.4589133,1,-91,268,246
1772835391.4601371,1,-116,268,246
1772835391.4601521,1,-116,242,246
1772835391.4601657,1,-116,242,290
1772835391.4951367,1,-125,242,290
1772835391.4951515,1,-125,192,290
1772835391.4951653,1,-125,192,368
1772835391.4963675,1,-124,192,368
