timestamp,stroke_id,x,y,z
1772835448.0009522,1,1,30,173
1772835448.0009716,1,1,44,173
1772835448.0009856,1,1,44,210
1772835448.0296497,1,34,44,210
1772835448.0296657,1,34,74,210
1772835448.029682,1,34,74,350
1772835448.0308487,1,34,70,350
1772835448.0308642,1,34,70,398
1772835448.0596302,1,32,70,398
1772835448.0596485,1,32,90,398
1772835448.0596626,1,32,90,448
1772835448.0608902,1,48,90,448
1772835448.0609045,1,48,114,448
1772835448.0609188,1,48,114,460
1772835448.0896122,1,90,114,460
1772835448.0896285,1,90,186,460
1772835448.0896423,1,90,186,459
1772835448.0908535,1,107,186,459
1772835448.0908678,1,107,220,459
1772835448.0908816,1,107,220,434
1772835448.1220977,1,118,220,434
1772835448.1221125,1,118,286,434
1772835448.1221263,1,118,286,366
1772835448.1233468,1,111,286,366
1772835448.1233609,1,111,306,366
1772835448.1233768,1,111,306,328
1772835448.1309288,1,56,306,328
1772835448.1309433,1,56,318,328
1772835448.1309571,1,56,318,244
1772835448.155848,1,35,318,244
1772835448.155862,1,35,317,244
1772835448.1558762,1,35,317,194
1772835448.1620853,1,16,317,194
1772835448.1621025,1,16,296,194
1772835448.1621165,1,16,296,98
1772835448.1908448,1,17,296,98
1772835448.190859,1,17,284,98
1772835448.190873,1,17,284,46
1772835448.192096,1,25,284,46
1772835448.1921103,1,25,264,46
1772835448.1921244,1,25,264,-2
1772835448.2245986,1,40,264,-2
1772835448.224613,1,40,214,-2
1772835448.224626,1,40,214,-86
1772835448.2258368,1,40,188,-86
1772835448.2258523,1,40,188,-116
1772835448.23212,1,23,188,-116
1772835448.232135,1,23,132,-116
1772835448.232149,1,23,132,-154
1772835448.260901,1,5,132,-154
1772835448.2609162,1,5,108,-154
1772835448.26093,1,5,108,-158
1772835448.2620947,1,-10,108,-158
1772835448.262112,1,-10,90,-158
1772835448.2621257,1,-10,90,-162
1772835448.2633398,1,-17,90,-162
1772835448.2633545,1,-17,78,-162
1772835448.263368,1,-17,78,-166
1772835448.2920866,1,-16,78,-166
1772835448.2921004,1,-16,72,-166
1772835448.2921138,1,-16,72,-167
1772835448.2933562,1,-11,72,-167
1772835448.2933712,1,-11,72,-160
1772835448.3271022,1,2,72,-160
1772835448.327116,1,2,78,-160
1772835448.3271408,1,2,78,-138
1772835448.3283525,1,10,78,-138
1772835448.3283663,1,10,79,-138
1772835448.3283799,1,10,79,-134
1772835448.3345819,1,10,78,-134
1772835448.3345966,1,10,78,-122
1772835448.363345,1,5,78,-122
1772835448.3633592,1,5,77,-122
1772835448.363373,1,5,77,-114
1772835448.3645957,1,-8,77,-114
1772835448.3646097,1,-8,70,-114
1772835448.3646233,1,-8,70,-106
1772835448.3933253,1,-36,70,-106
1772835448.3933394,1,-36,52,-106
1772835448.393353,1,-36,52,-94
1772835448.394598,1,-44,52,-94
1772835448.3946128,1,-44,48,-94
1772835448.3946264,1,-44,48,-88
1772835448.3958352,1,-45,48,-88
1772835448.3958502,1,-45,48,-84
1772835448.4295874,1,-45,52,-84
1772835448.4308548,1,-36,52,-84
1772835448.4308693,1,-36,62,-84
1772835448.430883,1,-36,62,-83
1772835448.4358454,1,-19,62,-83
1772835448.4358597,1,-19,86,-83
1772835448.4358733,1,-19,86,-78
1772835448.4645963,1,-12,86,-78
1772835448.4646165,1,-12,104,-78
1772835448.4646306,1,-12,104,-74
1772835448.4658597,1,-10,104,-74
1772835448.4658744,1,-10,120,-74
1772835448.465888,1,-10,120,-68
1772835448.4945858,1,-10,156,-68
1772835448.4946012,1,-10,156,-50
1772835448.4958348,1,-11,156,-50
1772835448.4958494,1,-11,176,-50
1772835448.4958632,1,-11,176,-40
1772835448.4970798,1,-10,176,-40
1772835448.4970944,1,-10,200,-40
1772835448.4971077,1,-10,200,-34
1772835448.5320919,1,-4,200,-34
1772835448.532106,1,-4,230,-34
1772835448.5321195,1,-4,230,-26
1772835448.5333338,1,-3,230,-26
1772835448.5333483,1,-3,258,-26
1772835448.5333622,1,-3,258,-12
1772835448.537087,1,-12,258,-12
1772835448.537101,1,-12,318,-12
1772835448.5371149,1,-12,318,62
1772835448.5658276,1,-18,318,62
1772835448.565842,1,-18,342,62
1772835448.5658557,1,-18,342,126
1772835448.5670888,1,-14,342,126
1772835448.5671034,1,-14,354,126
1772835448.5671172,1,-14,354,198
1772835448.5958364,1,-47,354,198
1772835448.595851,1,-47,322,198
1772835448.5958645,1,-47,322,306
1772835448.5970836,1,-101,322,306
1772835448.5970974,1,-101,286,306
1772835448.597111,1,-101,286,330
1772835448.6260707,1,-161,286,330
1772835448.6260903,1,-161,226,330
1772835448.6261141,1,-161,226,442
1772835448.627119,1,-139,226,442
1772835448.6271343,1,-139,208,442
1772835448.6271477,1,-139,208,484
1772835448.655876,1,-14,208,484
1772835448.6558917,1,-14,214,484
1772835448.655906,1,-14,214,480
1772835448.6571047,1,44,214,480
1772835448.6571195,1,44,200,480
1772835448.6571333,1,44,200,434
1772835448.685847,1,48,200,434
1772835448.6858623,1,48,142,434
1772835448.6858761,1,48,142,374
1772835448.6870906,1,21,142,374
1772835448.6871054,1,21,106,374
1772835448.687119,1,21,106,350
1772835448.7158482,1,-33,106,350
1772835448.7158635,1,-33,48,350
1772835448.7158775,1,-33,48,340
1772835448.7170823,1,-50,48,340
1772835448.7171047,1,-50,36,340
1772835448.7171187,1,-50,36,330
1772835448.745837,1,-75,36,330
1772835448.7458532,1,-75,28,330
1772835448.7458673,1,-75,28,296
1772835448.7470691,1,-85,28,296
1772835448.7470846,1,-85,28,280
1772835448.775829,1,-85,42,280
1772835448.7758446,1,-85,42,254
1772835448.7770739,1,-79,42,254
1772835448.7770882,1,-79,56,254
1772835448.8058157,1,-66,56,254
1772835448.8058305,1,-66,88,254
1772835448.8058445,1,-66,88,270
1772835448.807072,1,-65,88,270
1772835448.8070862,1,-65,100,270
1772835448.8070996,1,-65,100,288
1772835448.8083117,1,-66,100,288
1772835448.8083262,1,-66,112,288
1772835448.8083396,1,-66,112,308
1772835448.8383298,1,-71,112,308
1772835448.8383443,1,-71,120,308
1772835448.838358,1,-71,120,322
1772835448.8395658,1,-72,120,322
1772835448.8395865,1,-72,128,322
1772835448.8396003,1,-72,128,336
1772835448.8695827,1,-53,128,336
1772835448.8695972,1,-53,172,336
1772835448.8696108,1,-53,172,350
1772835448.8708167,1,-29,172,350
1772835448.8708313,1,-29,206,350
1772835448.8995554,1,5,206,350
1772835448.8995705,1,5,264,350
1772835448.8995845,1,5,264,318
1772835448.9008737,1,-2,264,318
1772835448.9008875,1,-2,270,318
1772835448.900901,1,-2,270,294
1772835448.9308314,1,-33,270,294
1772835448.9308455,1,-33,278,294
1772835448.9308596,1,-33,278,246
1772835448.9320793,1,-41,278,246
1772835448.9320936,1,-41,284,246
1772835448.9321074,1,-41,284,200
