timestamp,stroke_id,x,y,z
1772835524.5138552,1,115,60,-63
1772835524.5138748,1,115,76,-63
1772835524.513889,1,115,76,-50
1772835524.514892,1,129,76,-50
1772835524.5149064,1,129,112,-50
1772835524.5149221,1,129,112,-78
1772835524.5449758,1,140,112,-78
1772835524.5449908,1,140,140,-78
1772835524.5450048,1,140,140,-102
1772835524.5461383,1,145,140,-102
1772835524.5461526,1,145,164,-102
1772835524.5461664,1,145,164,-120
1772835524.574883,1,103,164,-120
1772835524.5748982,1,103,176,-120
1772835524.574912,1,103,176,-126
1772835524.5761423,1,63,176,-126
1772835524.5761564,1,63,166,-126
1772835524.576172,1,63,166,-120
1772835524.606176,1,-11,166,-120
1772835524.6061916,1,-11,138,-120
1772835524.6062057,1,-11,138,-98
1772835524.607378,1,-42,138,-98
1772835524.6073928,1,-42,124,-98
1772835524.6074064,1,-42,124,-92
1772835524.6151812,1,-85,124,-92
1772835524.6152034,1,-85,110,-92
1772835524.6152182,1,-85,110,-91
1772835524.6375456,1,-100,110,-91
1772835524.6375637,1,-100,110,-90
1772835524.6661675,1,-100,150,-90
1772835524.6661835,1,-100,150,-72
1772835524.667384,1,-106,150,-72
1772835524.6673982,1,-106,176,-72
1772835524.6674156,1,-106,176,-48
1772835524.699931,1,-139,176,-48
1772835524.6999466,1,-139,228,-48
1772835524.699961,1,-139,228,16
1772835524.701122,1,-180,228,16
1772835524.701136,1,-180,236,16
1772835524.70115,1,-180,236,60
1772835524.70614,1,-289,236,60
1772835524.7061582,1,-289,216,60
1772835524.7061722,1,-289,216,146
1772835524.73487,1,-318,216,146
1772835524.7348845,1,-318,212,146
1772835524.7348983,1,-318,212,164
1772835524.7362077,1,-318,220,164
1772835524.736223,1,-318,220,180
1772835524.7373762,1,-313,220,180
1772835524.7373905,1,-313,226,180
1772835524.737404,1,-313,226,186
1772835524.7661228,1,-304,226,186
1772835524.7661376,1,-304,232,186
1772835524.7661543,1,-304,232,182
1772835524.7673762,1,-291,232,182
1772835524.7673903,1,-291,236,182
1772835524.7974222,1,-280,236,182
1772835524.797437,1,-280,235,182
1772835524.7974508,1,-280,235,188
1772835524.798621,1,-287,235,188
1772835524.798635,1,-287,230,188
1772835524.7986488,1,-287,230,196
1772835524.8273797,1,-288,230,196
1772835524.8273945,1,-288,240,196
1772835524.8274083,1,-288,240,252
1772835524.8286257,1,-284,240,252
1772835524.8286405,1,-284,246,252
1772835524.8286538,1,-284,246,286
1772835524.8573718,1,-214,246,286
1772835524.8573856,1,-214,286,286
1772835524.8573992,1,-214,286,330
1772835524.858623,1,-156,286,330
1772835524.858637,1,-156,300,330
1772835524.8586507,1,-156,300,370
1772835524.8873653,1,-57,300,370
1772835524.8873792,1,-57,292,370
1772835524.8873925,1,-57,292,428
1772835524.8886225,1,-47,292,428
1772835524.888637,1,-47,278,428
1772835524.8886502,1,-47,278,422
1772835524.922369,1,-48,278,422
1772835524.9223838,1,-48,234,422
1772835524.9223976,1,-48,234,410
1772835524.9236157,1,-42,234,410
1772835524.9236298,1,-42,222,410
1772835524.923643,1,-42,222,422
1772835524.927369,1,41,222,422
1772835524.9273837,1,41,266,422
1772835524.9273965,1,41,266,410
1772835524.956102,1,107,266,410
1772835524.9561157,1,107,302,410
1772835524.956129,1,107,302,390
1772835524.9573762,1,157,302,390
1772835524.9573944,1,157,312,390
1772835524.9574082,1,157,312,346
1772835524.958597,1,171,312,346
1772835524.958611,1,171,302,346
1772835524.958624,1,171,302,300
1772835524.9873483,1,162,302,300
1772835524.9873626,1,162,280,300
1772835524.9873762,1,162,280,262
1772835524.988614,1,150,280,262
1772835524.9886286,1,150,254,262
1772835524.9886422,1,150,254,234
1772835525.0236232,1,146,254,234
1772835525.023638,1,146,224,234
1772835525.0236518,1,146,224,218
1772835525.0248892,1,142,224,218
1772835525.024904,1,142,228,218
1772835525.0249224,1,142,228,214
1772835525.0298584,1,136,228,214
1772835525.029873,1,136,234,214
1772835525.0298867,1,136,234,166
1772835525.0586069,1,124,234,166
1772835525.058621,1,124,228,166
1772835525.0586345,1,124,228,138
1772835525.0598643,1,113,228,138
1772835525.0598795,1,113,222,138
1772835525.059893,1,113,222,104
1772835525.0886137,1,84,222,104
1772835525.088628,1,84,206,104
1772835525.088642,1,84,206,46
1772835525.0898638,1,71,206,46
1772835525.0898788,1,71,190,46
1772835525.0898924,1,71,190,24
1772835525.118614,1,42,190,24
1772835525.118628,1,42,154,24
1772835525.1186419,1,42,154,-10
1772835525.1198652,1,25,154,-10
1772835525.1198843,1,25,140,-10
1772835525.1198983,1,25,140,-22
1772835525.121092,1,10,140,-22
1772835525.1211064,1,10,122,-22
1772835525.1211197,1,10,122,-36
1772835525.1523523,1,-7,122,-36
1772835525.1523666,1,-7,102,-36
1772835525.1523802,1,-7,102,-48
1772835525.1536045,1,-27,102,-48
1772835525.1536193,1,-27,84,-48
1772835525.1536329,1,-27,84,-64
1772835525.161201,1,-65,84,-64
1772835525.1612153,1,-65,38,-64
1772835525.161229,1,-65,38,-80
