timestamp,stroke_id,x,y,z
1772835987.1486087,1,20,52,-100
1772835987.1486273,1,20,62,-100
1772835987.1486418,1,20,62,-122
1772835987.1797802,1,28,62,-122
1772835987.1797967,1,28,98,-122
1772835987.1798131,1,28,98,-176
1772835987.1810267,1,37,98,-176
1772835987.1810412,1,37,118,-176
1772835987.1810548,1,37,118,-180
1772835987.1885908,1,54,118,-180
1772835987.188605,1,54,164,-180
1772835987.188619,1,54,164,-176
1772835987.2097487,1,58,164,-176
1772835987.2097626,1,58,188,-176
1772835987.2097762,1,58,188,-184
1772835987.239819,1,59,188,-184
1772835987.239834,1,59,236,-184
1772835987.2398505,1,59,236,-196
1772835987.2410018,1,66,236,-196
1772835987.2410161,1,66,264,-196
1772835987.2410297,1,66,264,-195
1772835987.2485886,1,67,264,-195
1772835987.248603,1,67,332,-195
1772835987.2486165,1,67,332,-164
1772835987.269761,1,63,332,-164
1772835987.269778,1,63,368,-164
1772835987.2697916,1,63,368,-124
1772835987.2985084,1,55,368,-124
1772835987.298522,1,55,428,-124
1772835987.2985353,1,55,428,-20
1772835987.2997522,1,45,428,-20
1772835987.2997663,1,45,442,-20
1772835987.2997797,1,45,442,38
1772835987.328493,1,-4,442,38
1772835987.328508,1,-4,446,38
1772835987.3285213,1,-4,446,100
1772835987.3297577,1,-25,446,100
1772835987.3297718,1,-25,466,100
1772835987.3297856,1,-25,466,101
1772835987.361008,1,-42,466,101
1772835987.3610225,1,-42,498,101
1772835987.361039,1,-42,498,176
1772835987.3622522,1,-72,498,176
1772835987.3622668,1,-72,498,288
1772835987.3684914,1,-138,498,288
1772835987.3685052,1,-138,334,288
1772835987.3685188,1,-138,334,414
1772835987.3985023,1,-100,334,414
1772835987.3985162,1,-100,314,414
1772835987.3985293,1,-100,314,376
1772835987.3997357,1,-25,314,376
1772835987.39975,1,-25,348,376
1772835987.399763,1,-25,348,340
1772835987.4284947,1,1,348,340
1772835987.428509,1,1,334,340
1772835987.4285226,1,1,334,408
1772835987.4297552,1,-60,334,408
1772835987.4297693,1,-60,272,408
1772835987.4297829,1,-60,272,468
1772835987.4310045,1,-114,272,468
1772835987.4310186,1,-114,204,468
1772835987.4310317,1,-114,204,494
1772835987.8060944,2,-106,6,-144
1772835987.8061116,2,-106,5,-144
1772835987.8061252,2,-106,5,-116
1772835987.8347883,2,-107,5,-116
1772835987.8348033,2,-107,-2,-116
1772835987.8348172,2,-107,-2,-108
1772835987.8360236,2,-111,-2,-108
1772835987.8360376,2,-111,-1,-108
1772835987.8360517,2,-111,-1,-98
1772835987.874748,2,-132,-1,-98
1772835987.8747618,2,-132,0,-98
1772835987.8747747,2,-132,0,-66
1772835987.87601,2,-140,0,-66
1772835987.876024,2,-140,-1,-66
1772835987.8760376,2,-140,-1,-48
1772835987.9072897,2,-139,-1,-48
1772835987.9073048,2,-139,4,-48
1772835987.9073184,2,-139,4,-14
1772835987.9085126,2,-133,4,-14
1772835987.9085267,2,-133,8,-14
1772835987.90854,2,-133,8,-15
1772835987.9372513,2,-118,8,-15
1772835987.9372668,2,-118,14,-15
1772835987.9385066,2,-101,14,-15
1772835987.938521,2,-101,20,-15
1772835987.9385345,2,-101,20,-20
1772835987.9672482,2,-72,20,-20
1772835987.9672625,2,-72,26,-20
1772835987.9672763,2,-72,26,-30
1772835987.9684992,2,-56,26,-30
1772835987.9685135,2,-56,30,-30
1772835987.9685342,2,-56,30,-34
1772835988.0022562,2,-29,30,-34
1772835988.0022712,2,-29,40,-34
