timestamp,stroke_id,x,y,z
1772836154.114527,1,-66,-100,-40
1772836154.1145468,1,-66,-92,-40
1772836154.1145613,1,-66,-92,-32
1772836154.1420207,1,-66,-91,-32
1772836154.1420379,1,-66,-91,-16
1772836154.1431615,1,-66,-89,-16
1772836154.143177,1,-66,-89,-12
1772836154.1756778,1,-54,-89,-12
1772836154.1756923,1,-54,-72,-12
1772836154.175708,1,-54,-72,-4
1772836154.176945,1,-47,-72,-4
1772836154.1769602,1,-47,-62,-4
1772836154.1769743,1,-47,-62,-3
1772836154.184483,1,-36,-62,-3
1772836154.184497,1,-36,-44,-3
1772836154.184511,1,-36,-44,4
1772836154.2069447,1,-34,-44,4
1772836154.2069623,1,-34,-38,4
1772836154.214459,1,-25,-38,4
1772836154.2144744,1,-25,-34,4
1772836154.236955,1,-19,-34,4
1772836154.2369697,1,-19,-28,4
1772836154.244479,1,-7,-28,4
1772836154.2444932,1,-7,-14,4
1772836154.2656488,1,-3,-14,4
1772836154.2656658,1,-3,-10,4
1772836154.294413,1,-4,-10,4
1772836154.2944276,1,-4,-4,4
1772836154.2944415,1,-4,-4,5
1772836154.2956555,1,-4,0,5
1772836154.2956705,1,-4,0,10
1772836154.3244092,1,-13,0,10
1772836154.324424,1,-13,4,10
1772836154.3244407,1,-13,4,9
1772836154.3256614,1,-28,4,9
1772836154.3256757,1,-28,-6,9
1772836154.3256896,1,-28,-6,8
1772836154.356943,1,-53,-6,8
1772836154.3569574,1,-53,-14,8
1772836154.3569713,1,-53,-14,9
1772836154.358164,1,-57,-14,9
1772836154.3581808,1,-57,-10,9
1772836154.3581946,1,-57,-10,8
1772836154.3657513,1,-72,-10,8
1772836154.3657658,1,-72,-9,8
1772836154.3657796,1,-72,-9,9
1772836154.3868997,1,-79,-9,9
1772836154.3869138,1,-79,-4,9
1772836154.415676,1,-85,-4,9
1772836154.415691,1,-85,0,9
1772836154.4157052,1,-85,0,14
1772836154.4169996,1,-90,0,14
1772836154.4170144,1,-90,1,14
1772836154.4170315,1,-90,1,15
1772836154.4456725,1,-116,1,15
1772836154.4456875,1,-116,0,15
1772836154.4457016,1,-116,0,16
1772836154.446909,1,-132,0,16
1772836154.446924,1,-132,0,20
1772836154.4831722,1,-167,0,20
1772836154.483187,1,-167,-10,20
1772836154.4832008,1,-167,-10,28
1772836154.4844077,1,-176,-10,28
1772836154.484423,1,-176,-10,34
1772836154.4869263,1,-170,-10,34
1772836154.4869528,1,-170,-2,34
1772836154.486967,1,-170,-2,30
1772836154.5169702,1,-164,-2,30
1772836154.516985,1,-164,4,30
1772836154.516999,1,-164,4,26
