timestamp,stroke_id,x,y,z
1772836202.688059,1,1,38,-152
1772836202.6880782,1,1,52,-152
1772836202.6880925,1,1,52,-170
1772836202.7167194,1,20,52,-170
1772836202.7167673,1,20,88,-170
1772836202.716786,1,20,88,-188
1772836202.7179759,1,40,88,-188
1772836202.7179909,1,40,110,-188
1772836202.7180047,1,40,110,-192
1772836202.7466931,1,34,110,-192
1772836202.7467072,1,34,140,-192
1772836202.7479594,1,19,140,-192
1772836202.747974,1,19,150,-192
1772836202.747988,1,19,150,-191
1772836202.7767713,1,-12,150,-191
1772836202.7767909,1,-12,174,-191
1772836202.7768056,1,-12,174,-150
1772836202.7779646,1,-17,174,-150
1772836202.77798,1,-17,190,-150
1772836202.7779942,1,-17,190,-130
1772836202.8092031,1,1,190,-130
1772836202.809219,1,1,274,-130
1772836202.809233,1,1,274,-52
1772836202.818026,1,28,274,-52
1772836202.8180401,1,28,354,-52
1772836202.8180568,1,28,354,4
1772836202.8767762,1,-47,354,4
1772836202.8767953,1,-47,372,4
1772836202.8768098,1,-47,372,334
1772836202.877971,1,-71,372,334
1772836202.8779855,1,-71,298,334
1772836202.877999,1,-71,298,430
1772836202.9104588,1,-50,298,430
1772836202.9104772,1,-50,194,430
1772836202.910491,1,-50,194,456
1772836202.9116898,1,-11,194,456
1772836202.9117045,1,-11,174,456
1772836202.9117186,1,-11,174,420
1772836202.9192748,1,14,174,420
1772836202.9192896,1,14,158,420
1772836202.9193032,1,14,158,392
1772836202.9429784,1,-19,158,392
1772836202.9429936,1,-19,132,392
1772836202.9430075,1,-19,132,384
1772836202.949207,1,-72,132,384
1772836202.9492216,1,-72,88,384
1772836202.9492357,1,-72,88,354
1772836202.977948,1,-70,88,354
1772836202.9779634,1,-70,78,354
1772836202.9779773,1,-70,78,346
1772836202.9791934,1,-53,78,346
1772836202.9792082,1,-53,74,346
1772836202.9792218,1,-53,74,340
1772836202.980445,1,-40,74,340
1772836202.9804592,1,-40,73,340
1772836202.980473,1,-40,73,328
1772836203.0091743,1,-31,73,328
1772836203.0091891,1,-31,71,328
1772836203.0092032,1,-31,71,304
1772836203.0104487,1,-29,71,304
1772836203.010463,1,-29,64,304
1772836203.0104766,1,-29,64,280
1772836203.0391903,1,-38,64,280
1772836203.0392048,1,-38,42,280
1772836203.0392187,1,-38,42,234
1772836203.0404432,1,-50,42,234
1772836203.0404582,1,-50,34,234
1772836203.040472,1,-50,34,210
1772836203.0691845,1,-66,34,210
1772836203.0691988,1,-66,26,210
1772836203.0692127,1,-66,26,170
1772836203.0704415,1,-71,26,170
1772836203.0704567,1,-71,26,154
1772836203.0716784,1,-72,26,154
1772836203.0716927,1,-72,27,154
1772836203.0717063,1,-72,27,144
1772836203.1029444,1,-71,27,144
1772836203.1029677,1,-71,32,144
1772836203.102982,1,-71,32,134
1772836203.1041934,1,-69,32,134
