timestamp,stroke_id,x,y,z
1772836426.1006021,1,24,3,-70
1772836426.1006205,1,24,2,-70
1772836426.1006336,1,24,2,-78
1772836426.1203983,1,34,2,-78
1772836426.1204126,1,34,12,-78
1772836426.1204278,1,34,12,-86
1772836426.1553855,1,61,12,-86
1772836426.1554005,1,61,20,-86
1772836426.1554139,1,61,20,-94
1772836426.1566114,1,56,20,-94
1772836426.1566255,1,56,26,-94
1772836426.1566386,1,56,26,-93
1772836426.1615937,1,55,26,-93
1772836426.1616075,1,55,32,-93
1772836426.189179,1,56,32,-93
1772836426.1891937,1,56,40,-93
1772836426.1892073,1,56,40,-91
1772836426.190366,1,67,40,-91
1772836426.1903803,1,67,48,-91
1772836426.1903946,1,67,48,-82
1772836426.1916077,1,78,48,-82
1772836426.1916213,1,78,56,-82
1772836426.1916344,1,78,56,-70
1772836426.221619,1,85,56,-70
1772836426.2216334,1,85,64,-70
1772836426.2216506,1,85,64,-62
1772836426.2228491,1,91,64,-62
1772836426.222863,1,91,72,-62
1772836426.222876,1,91,72,-52
1772836426.2566051,1,77,72,-52
1772836426.2566192,1,77,82,-52
1772836426.2566323,1,77,82,-46
1772836426.2578757,1,67,82,-46
1772836426.2578933,1,67,90,-46
1772836426.2579067,1,67,90,-42
1772836426.2640972,1,39,90,-42
1772836426.264111,1,39,104,-42
1772836426.264124,1,39,104,-28
1772836426.292913,1,20,104,-28
1772836426.292927,1,20,105,-28
1772836426.2929397,1,20,105,-20
1772836426.2941136,1,-1,105,-20
1772836426.294128,1,-1,105,-16
1772836426.32286,1,-43,105,-16
1772836426.3228743,1,-43,103,-16
1772836426.3228874,1,-43,103,-2
1772836426.3241127,1,-61,103,-2
1772836426.3241267,1,-61,102,-2
1772836426.32414,1,-61,102,16
1772836426.3603668,1,-100,102,16
1772836426.3603806,1,-100,98,16
1772836426.3603942,1,-100,98,44
1772836426.361615,1,-127,98,44
1772836426.3616316,1,-127,92,44
1772836426.3616447,1,-127,92,48
1772836426.3628564,1,-199,92,48
1772836426.3628705,1,-199,74,48
1772836426.3628836,1,-199,74,56
1772836426.3929074,1,-259,74,56
1772836426.3929217,1,-259,50,56
1772836426.3929348,1,-259,50,72
1772836426.394111,1,-317,50,72
1772836426.3941247,1,-317,24,72
1772836426.394138,1,-317,24,84
1772836426.424109,1,-384,24,84
1772836426.4241333,1,-384,-24,84
1772836426.424147,1,-384,-24,104
1772836426.4253745,1,-389,-24,104
1772836426.4253883,1,-389,-34,104
1772836426.4254017,1,-389,-34,114
1772836426.4616168,1,-375,-34,114
1772836426.4616313,1,-375,-34,122
1772836426.4628787,1,-359,-34,122
1772836426.4628923,1,-359,-30,122
1772836426.4629054,1,-359,-30,114
1772836426.4640932,1,-322,-30,114
1772836426.464108,1,-322,-30,92
1772836426.4929104,1,-306,-30,92
1772836426.4929242,1,-306,-34,92
1772836426.4929376,1,-306,-34,74
1772836426.494122,1,-296,-34,74
1772836426.4941366,1,-296,-34,56
1772836426.5228984,1,-278,-34,56
1772836426.5229132,1,-278,-35,56
1772836426.5229266,1,-278,-35,26
1772836426.5241334,1,-267,-35,26
1772836426.5241475,1,-267,-33,26
1772836426.5241609,1,-267,-33,14
1772836426.5354576,1,-255,-33,14
1772836426.5354724,1,-255,-31,14
1772836426.5354855,1,-255,-31,-8
1772836426.5978866,1,-221,-31,-8
1772836426.5979013,1,-221,0,-8
1772836426.5979218,1,-221,0,0
1772836426.6268506,1,-241,0,0
1772836426.6268678,1,-241,-4,0
1772836426.626881,1,-241,-4,-12
1772836426.6279047,1,-260,-4,-12
1772836426.6279185,1,-260,-10,-12
1772836426.6366465,1,-288,-10,-12
1772836426.636661,1,-288,-16,-12
1772836426.6366746,1,-288,-16,-16
1772836426.6666563,1,-296,-16,-16
1772836426.6666706,1,-296,-17,-16
1772836426.6666837,1,-296,-17,-8
1772836426.667862,1,-306,-17,-8
