timestamp,stroke_id,x,y,z
1772836484.8243823,1,-173,-34,-16
1772836484.8244014,1,-173,-44,-16
1772836484.8244162,1,-173,-44,-4
1772836484.8530684,1,-201,-44,-4
1772836484.8530843,1,-201,-62,-4
1772836484.8531015,1,-201,-62,38
1772836484.8543105,1,-194,-62,38
1772836484.8543253,1,-194,-58,38
1772836484.8543396,1,-194,-58,62
1772836484.8818429,1,-195,-58,62
1772836484.8818595,1,-195,-58,108
1772836484.883042,1,-214,-58,108
1772836484.8830569,1,-214,-64,108
1772836484.8830707,1,-214,-64,118
1772836484.8843017,1,-230,-64,118
1772836484.8843164,1,-230,-68,118
1772836484.8843303,1,-230,-68,124
1772836484.9118137,1,-237,-68,124
1772836484.9118292,1,-237,-64,124
1772836484.9118433,1,-237,-64,132
1772836484.9130514,1,-230,-64,132
1772836484.9130661,1,-230,-50,132
1772836484.9130802,1,-230,-50,136
1772836484.9155283,1,-217,-50,136
1772836484.9155424,1,-217,-34,136
1772836484.9155588,1,-217,-34,140
1772836484.9442816,1,-190,-34,140
1772836484.9442966,1,-190,-10,140
1772836484.9443102,1,-190,-10,139
1772836484.9455488,1,-152,-10,139
1772836484.9455628,1,-152,20,139
1772836484.9455764,1,-152,20,128
1772836484.9742992,1,-77,20,128
1772836484.9743161,1,-77,74,128
1772836484.9743302,1,-77,74,94
1772836484.9755495,1,-45,74,94
1772836484.975564,1,-45,92,94
1772836484.9755778,1,-45,92,68
1772836485.0043046,1,29,92,68
1772836485.004319,1,29,120,68
1772836485.0043328,1,29,120,14
1772836485.0055566,1,83,120,14
1772836485.005571,1,83,134,14
1772836485.0055847,1,83,134,-10
1772836485.0180569,1,210,134,-10
1772836485.0180714,1,210,158,-10
1772836485.018085,1,210,158,-36
1772836485.0255537,1,255,158,-36
1772836485.0255678,1,255,159,-36
1772836485.0255818,1,255,159,-37
1772836485.054299,1,277,159,-37
1772836485.0543146,1,277,148,-37
1772836485.054328,1,277,148,-30
1772836485.055552,1,282,148,-30
1772836485.0555665,1,282,130,-30
1772836485.0555801,1,282,130,-16
1772836485.0842998,1,269,130,-16
1772836485.0843146,1,269,92,-16
1772836485.0843287,1,269,92,-4
1772836485.0855505,1,245,92,-4
1772836485.085565,1,245,70,-4
1772836485.085579,1,245,70,-3
1772836485.114302,1,184,70,-3
1772836485.114317,1,184,26,-3
1772836485.1143312,1,184,26,10
1772836485.1155486,1,155,26,10
1772836485.115563,1,155,16,10
1772836485.1155765,1,155,16,16
1772836485.1506143,1,111,16,16
1772836485.15063,1,111,-4,16
1772836485.1506443,1,111,-4,36
1772836485.151794,1,101,-4,36
1772836485.1518087,1,101,-14,36
1772836485.1518226,1,101,-14,37
1772836485.1668918,1,62,-14,37
1772836485.1669075,1,62,-36,37
1772836485.1669216,1,62,-36,42
1772836485.2256374,1,31,-36,42
1772836485.2256534,1,31,-18,42
1772836485.225668,1,31,-18,62
1772836485.2268627,1,29,-18,62
1772836485.226877,1,29,-8,62
1772836485.2268913,1,29,-8,52
1772836485.2555742,1,43,-8,52
1772836485.255589,1,43,22,52
1772836485.2556033,1,43,22,10
1772836485.256826,1,55,22,10
1772836485.25684,1,55,28,10
1772836485.2568538,1,55,28,0
1772836485.2855625,1,55,27,0
1772836485.285578,1,55,27,-22
1772836485.2868147,1,46,27,-22
1772836485.2868288,1,46,26,-22
1772836485.28685,1,46,26,-28
1772836485.3155746,1,53,26,-28
1772836485.3155894,1,53,38,-28
1772836485.315603,1,53,38,-32
1772836485.3168154,1,69,38,-32
1772836485.31683,1,69,54,-32
1772836485.3168435,1,69,54,-52
1772836485.3455663,1,118,54,-52
1772836485.3455822,1,118,94,-52
1772836485.3455968,1,118,94,-86
1772836485.346813,1,128,94,-86
1772836485.3468273,1,128,118,-86
1772836485.346841,1,128,118,-87
1772836485.3755634,1,123,118,-87
1772836485.3755789,1,123,172,-87
1772836485.375593,1,123,172,-46
1772836485.376819,1,114,172,-46
1772836485.3768342,1,114,196,-46
1772836485.3768482,1,114,196,-6
1772836485.4055972,1,55,196,-6
1772836485.4056134,1,55,226,-6
1772836485.4056277,1,55,226,130
1772836485.4068224,1,31,226,130
1772836485.4068372,1,31,232,130
1772836485.4068513,1,31,232,202
1772836485.4080646,1,4,232,202
1772836485.4080794,1,4,224,202
1772836485.4080935,1,4,224,260
1772836485.4368272,1,-35,224,260
1772836485.436843,1,-35,206,260
1772836485.436857,1,-35,206,310
1772836485.438076,1,-74,206,310
1772836485.4380913,1,-74,176,310
1772836485.438105,1,-74,176,350
1772836485.4668133,1,-160,176,350
1772836485.466828,1,-160,88,350
1772836485.4668484,1,-160,88,410
1772836485.468063,1,-191,88,410
1772836485.4680777,1,-191,44,410
1772836485.468092,1,-191,44,390
1772836485.4693105,1,-199,44,390
1772836485.469325,1,-199,16,390
1772836485.469339,1,-199,16,342
1772836485.4980667,1,-188,16,342
1772836485.4980814,1,-188,-4,342
1772836485.4980953,1,-188,-4,290
1772836485.4993217,1,-171,-4,290
1772836485.499336,1,-171,-8,290
1772836485.4993498,1,-171,-8,264
1772836485.5280569,1,-137,-8,264
1772836485.5280714,1,-137,-7,264
1772836485.5280855,1,-137,-7,242
1772836485.5293155,1,-135,-7,242
1772836485.5293314,1,-135,-7,234
1772836485.5580595,1,-142,-7,234
1772836485.5580738,1,-142,-20,234
1772836485.5580935,1,-142,-20,216
1772836485.5593166,1,-141,-20,216
1772836485.5593317,1,-141,-24,216
1772836485.5593455,1,-141,-24,202
1772836485.588062,1,-118,-24,202
1772836485.5880766,1,-118,-25,202
1772836485.5880904,1,-118,-25,168
1772836485.5893269,1,-101,-25,168
1772836485.5893412,1,-101,-18,168
1772836485.5893555,1,-101,-18,148
1772836485.5905616,1,-89,-18,148
1772836485.590576,1,-89,-14,148
1772836485.5905902,1,-89,-14,134
1772836485.6194847,1,-82,-14,134
1772836485.6195025,1,-82,-8,134
1772836485.6195168,1,-82,-8,124
1772836485.6206005,1,-78,-8,124
1772836485.6206157,1,-78,-4,124
1772836485.6206295,1,-78,-4,114
1772836485.6493363,1,-76,-4,114
1772836485.6493518,1,-76,2,114
1772836485.6493657,1,-76,2,94
1772836485.6505814,1,-76,6,94
1772836485.6505976,1,-76,6,90
1772836485.6518068,1,-75,6,90
1772836485.6518216,1,-75,12,90
1772836485.6518357,1,-75,12,84
1772836485.680597,1,-70,12,84
1772836485.6806128,1,-70,20,84
1772836485.680627,1,-70,20,80
1772836485.681828,1,-66,20,80
1772836485.6818433,1,-66,30,80
1772836485.6818573,1,-66,30,76
1772836485.710573,1,-65,30,76
1772836485.710589,1,-65,42,76
